fecha_divorcio,fecha_matrimonio,sexo_1,sexo_2
2020-11-18",1999-06-08",M",F"
2020-10-14",1988-11-02",NO DECLARA",NO DECLARA"
2020-11-27",1999-09-10",M",F"
2020-02-28",1999-11-05",M",F"
2020-03-11",1999-09-02",M",F"
2020-11-26",1999-04-15",M",F"
2020-01-09",1999-07-30",M",F"
2020-02-17",1988-10-25",NO DECLARA",NO DECLARA"
2020-08-12",1990-10-01",M",F"
2020-11-13",1999-06-18",M",F"
2020-10-30",1999-10-08",M",F"
2020-01-02",1999-12-17",M",F"
2020-02-10",1999-10-25",M",F"
2020-11-12",1999-07-02",M",F"
2020-11-09",1999-08-05",M",F"
2020-08-14",1999-10-28",M",F"
2020-12-15",1999-10-15",M",F"
2020-12-14",1999-03-31",M",F"
2020-11-30",1999-09-09",M",F"
2020-10-23",1989-07-04",M",F"
2020-12-18",1999-04-30",M",F"
2020-08-28",1999-08-06",M",F"
2020-10-23",1997-02-21",M",F"
2020-08-31",1998-11-23",M",F"
2020-11-24",1999-09-24",M",F"
2020-10-29",1999-07-23",M",F"
2020-11-24",1989-03-16",NO DECLARA",NO DECLARA"
2020-03-10",1998-01-08",M",F"
2020-12-03",1989-03-31",NO DECLARA",NO DECLARA"
2020-12-07",1999-02-25",M",F"
2020-10-06",1999-07-23",M",F"
2020-09-03",1999-03-19",M",F"
2020-02-10",1999-05-12",M",F"
2020-01-08",1999-02-10",M",F"
2020-01-09",1990-09-17",NO DECLARA",NO DECLARA"
2020-10-06",2001-09-26",M",F"
2020-12-10",2002-09-27",M",F"
2020-10-01",2003-06-12",M",F"
2020-09-14",2001-07-16",M",F"
2020-10-23",1987-11-10",NO DECLARA",NO DECLARA"
2020-02-19",1988-06-09",NO DECLARA",NO DECLARA"
2020-10-02",1987-04-23",M",F"
2020-11-27",2001-03-05",M",F"
2020-11-12",2001-02-15",M",DESCONOCIDO"
2020-10-21",1986-04-16",NO DECLARA",NO DECLARA"
2020-11-10",1987-12-17",NO DECLARA",NO DECLARA"
2020-02-26",2002-07-12",M",F"
2020-12-22",1987-12-30",NO DECLARA",NO DECLARA"
2020-08-24",1988-05-02",NO DECLARA",NO DECLARA"
2020-08-06",2003-02-14",M",F"
2020-10-15",2001-03-30",M",F"
2020-06-29",2001-04-05",M",F"
2020-08-13",1986-11-14",NO DECLARA",NO DECLARA"
2020-11-13",2001-11-30",M",F"
2020-11-13",2001-10-12",M",F"
2020-12-03",2000-10-20",M",F"
2020-12-03",1999-10-08",M",F"
2020-12-18",1999-09-03",M",F"
2020-09-14",2001-01-12",M",F"
2020-11-13",1988-06-07",NO DECLARA",NO DECLARA"
2020-12-22",1997-10-03",M",F"
2020-12-23",2001-12-21",M",F"
2020-11-24",2001-08-03",M",F"
2020-01-06",2001-07-12",M",F"
2020-12-02",2001-06-08",M",F"
2020-01-09",1997-10-23",M",F"
2020-11-16",2001-04-06",M",F"
2020-08-30",2001-03-08",M",F"
2020-08-13",1988-04-07",NO DECLARA",NO DECLARA"
2020-12-02",1985-03-01",NO DECLARA",F"
2020-08-05",2000-02-18",M",F"
2020-11-21",1999-02-12",M",F"
2020-03-05",1984-03-28",NO DECLARA",NO DECLARA"
2020-12-10",2001-07-06",M",F"
